col_user,col_item,col_timestamp,col_rating
0,MSPR,2018-09-11,1.0
0,REGN,2019-11-04,1.0
0,RCM,2018-05-03,1.0
0,TXMD,2020-07-20,1.0
0,ZWS,2019-08-14,1.0
0,T-PC,2019-12-27,1.0
0,NAVI,2018-12-23,1.0
0,NNDM,2019-07-19,1.0
0,CARA,2018-09-04,1.0
0,ADSK,2020-06-22,1.0
0,CODI-PC,2018-10-09,1.0
0,VERB,2019-01-07,1.0
0,HTD,2018-10-17,1.0
1,TXMD,2019-07-07,1.0
1,AKO-A,2019-06-05,1.0
1,HLMN,2020-09-05,1.0
1,ORC,2018-04-20,1.0
1,JYAC,2019-09-27,1.0
1,RCM,2020-04-24,1.0
1,APTV-PA,2018-03-14,1.0
1,GSIT,2020-06-15,1.0
1,FGF,2020-04-13,1.0
1,VFC,2018-01-03,1.0
1,SSY,2019-03-10,1.0
1,AUY,2019-12-06,1.0
1,CODI-PC,2019-10-02,1.0
1,OR,2020-04-24,1.0
1,HCXY,2018-05-25,1.0
1,HEES,2018-08-19,1.0
1,MESO,2020-05-11,1.0
1,MDJH,2018-06-01,1.0
1,LIQT,2020-06-23,1.0
1,REGN,2018-10-17,1.0
1,AIRTP,2018-05-04,1.0
1,AEMD,2018-10-24,1.0
1,TNP,2021-01-08,1.0
1,PMTS,2018-03-05,1.0
2,ZWS,2019-12-22,1.0
2,KRG,2018-01-09,1.0
2,JYAC,2020-08-31,1.0
2,ADSK,2019-01-20,1.0
2,CHE,2018-08-25,1.0
2,AEMD,2019-02-27,1.0
2,MBRX,2020-03-06,1.0
2,WSTG,2018-08-27,1.0
2,GLOP-PA,2018-08-04,1.0
2,DHT,2020-08-18,1.0
2,MFGP,2020-09-10,1.0
2,NMK-PC,2018-06-06,1.0
2,NVEC,2019-12-02,1.0
2,VIIAU,2020-09-14,1.0
2,REGN,2018-01-30,1.0
2,PRIF-PF,2020-09-11,1.0
2,PMTS,2019-06-14,1.0
2,CNET,2019-06-17,1.0
2,TNP,2019-01-30,1.0
2,KALU,2020-07-25,1.0
2,TDS,2020-12-11,1.0
2,RYTM,2019-02-26,1.0
2,NTB,2018-12-20,1.0
2,XRX,2019-12-23,1.0
2,MESO,2019-09-29,1.0
2,CAAS,2018-02-03,1.0
2,WPRT,2018-04-14,1.0
2,CSTE,2018-09-17,1.0
3,BURL,2019-12-06,1.0
4,KRYS,2020-09-30,1.0
4,DEI,2018-06-16,1.0
4,DAL,2018-03-31,1.0
4,CHD,2019-06-23,1.0
4,SRLP,2020-11-03,1.0
4,T-PC,2018-08-13,1.0
4,GLOP-PA,2018-09-09,1.0
4,FNV,2020-01-20,1.0
4,CSTE,2020-10-20,1.0
4,SAVE,2020-05-05,1.0
4,ONB,2018-08-02,1.0
4,ELBM,2020-01-29,1.0
4,WOLF,2018-07-25,1.0
4,EHI,2019-08-05,1.0
4,SCM,2018-02-10,1.0
4,OBLG,2019-11-08,1.0
4,GOTU,2018-03-09,1.0
4,BW,2020-01-02,1.0
